distrito, concelho, freguesia, ano e mes, preco_m2
Porto,Vila Nova de Gaia,Canidelo,Maio 2015,975
Porto,Vila Nova de Gaia,Canidelo,Abril 2015,1.029
Porto,Vila Nova de Gaia,Canidelo,Março 2015,1.061
Porto,Vila Nova de Gaia,Canidelo,Fevereiro 2015,1.065
Porto,Vila Nova de Gaia,Canidelo,Janeiro 2015,1.077
Porto,Vila Nova de Gaia,Grijó e Sermonde,Dezembro 2019,925
Porto,Vila Nova de Gaia,Grijó e Sermonde,Novembro 2019,909
Porto,Vila Nova de Gaia,Grijó e Sermonde,Outubro 2019,876
Porto,Vila Nova de Gaia,Grijó e Sermonde,Setembro 2019,879
Porto,Vila Nova de Gaia,Grijó e Sermonde,Agosto 2019,875
Porto,Vila Nova de Gaia,Grijó e Sermonde,Julho 2019,883
Porto,Vila Nova de Gaia,Grijó e Sermonde,Junho 2019,892
Porto,Vila Nova de Gaia,Grijó e Sermonde,Maio 2019,913
Porto,Vila Nova de Gaia,Grijó e Sermonde,Abril 2019,896
Porto,Vila Nova de Gaia,Grijó e Sermonde,Março 2019,890
Porto,Vila Nova de Gaia,Grijó e Sermonde,Fevereiro 2019,890
Porto,Vila Nova de Gaia,Grijó e Sermonde,Janeiro 2019,903
Porto,Vila Nova de Gaia,Grijó e Sermonde,Dezembro 2018,878
Porto,Vila Nova de Gaia,Grijó e Sermonde,Novembro 2018,856
Porto,Vila Nova de Gaia,Grijó e Sermonde,Outubro 2018,834
Porto,Vila Nova de Gaia,Grijó e Sermonde,Setembro 2018,818
Porto,Vila Nova de Gaia,Grijó e Sermonde,Agosto 2018,814
Porto,Vila Nova de Gaia,Grijó e Sermonde,Julho 2018,802
Porto,Vila Nova de Gaia,Grijó e Sermonde,Junho 2018,786
Porto,Vila Nova de Gaia,Grijó e Sermonde,Maio 2018,781
Porto,Vila Nova de Gaia,Grijó e Sermonde,Abril 2018,761
Porto,Vila Nova de Gaia,Grijó e Sermonde,Março 2018,751
