distrito, concelho, freguesia, ano e mes, preco_m2
Porto,Matosinhos,Perafita - Lavra - Santa Cruz do Bispo,Maio 2015,1.054
Porto,Matosinhos,Perafita - Lavra - Santa Cruz do Bispo,Abril 2015,1.042
Porto,Matosinhos,Perafita - Lavra - Santa Cruz do Bispo,Março 2015,1.009
Porto,Matosinhos,Perafita - Lavra - Santa Cruz do Bispo,Fevereiro 2015,975
Porto,Matosinhos,Perafita - Lavra - Santa Cruz do Bispo,Janeiro 2015,1.019
Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Dezembro 2019,1.683
Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Novembro 2019,1.715
Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Outubro 2019,1.709
Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Setembro 2019,1.650
Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Agosto 2019,1.614
Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Julho 2019,1.614
Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Junho 2019,1.622
Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Maio 2019,1.628
Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Abril 2019,1.576
Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Março 2019,1.518
Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Fevereiro 2019,1.463
Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Janeiro 2019,1.389
Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Dezembro 2018,1.379
Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Novembro 2018,1.373
Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Outubro 2018,1.367
Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Setembro 2018,1.327
Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Agosto 2018,1.332
Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Julho 2018,1.313
Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Junho 2018,1.293
Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Maio 2018,1.232
Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Abril 2018,1.202
Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Março 2018,1.147
Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Fevereiro 2018,1.128
Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Janeiro 2018,1.125
Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Dezembro 2017,1.133
Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Novembro 2017,1.099
Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Outubro 2017,1.094
Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Setembro 2017,1.074
Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Agosto 2017,1.033
Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Julho 2017,1.016
Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Junho 2017,1.026
Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Maio 2017,1.022
Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Abril 2017,1.036
Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Março 2017,1.027
Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Fevereiro 2017,1.026
Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Janeiro 2017,1.007
Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Dezembro 2016,1.015
Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Novembro 2016,1.006
Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Outubro 2016,993
Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Setembro 2016,989
Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Agosto 2016,980
Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Julho 2016,958
Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Junho 2016,950
Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Maio 2016,956
Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Abril 2016,953
Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Março 2016,950
Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Fevereiro 2016,949
Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Janeiro 2016,935
Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Dezembro 2015,936
Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Novembro 2015,945
Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Outubro 2015,952
Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Setembro 2015,989
Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Agosto 2015,1.012
Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Julho 2015,1.025
Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Junho 2015,1.029
Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Maio 2015,1.005
Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Abril 2015,988
Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Março 2015,979
Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Fevereiro 2015,1.020
Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Janeiro 2015,1.058
