distrito, concelho, freguesia, ano e mes, preco_m2
Porto,Porto,Paranhos,Novembro 2018,1.985
Porto,Porto,Paranhos,Outubro 2018,1.958
Porto,Porto,Paranhos,Setembro 2018,1.881
Porto,Porto,Paranhos,Agosto 2018,1.829
Porto,Porto,Paranhos,Julho 2018,1.764
Porto,Porto,Paranhos,Junho 2018,1.652
Porto,Porto,Paranhos,Maio 2018,1.602
Porto,Porto,Paranhos,Abril 2018,1.577
Porto,Porto,Paranhos,Março 2018,1.525
Porto,Porto,Paranhos,Fevereiro 2018,1.489
Porto,Porto,Paranhos,Janeiro 2018,1.448
Porto,Porto,Paranhos,Dezembro 2017,1.411
Porto,Porto,Paranhos,Novembro 2017,1.406
Porto,Porto,Paranhos,Outubro 2017,1.407
Porto,Porto,Paranhos,Setembro 2017,1.399
Porto,Porto,Paranhos,Agosto 2017,1.378
Porto,Porto,Paranhos,Julho 2017,1.339
Porto,Porto,Paranhos,Junho 2017,1.318
Porto,Porto,Paranhos,Maio 2017,1.313
Porto,Porto,Paranhos,Abril 2017,1.320
Porto,Porto,Paranhos,Março 2017,1.315
Porto,Porto,Paranhos,Fevereiro 2017,1.334
Porto,Porto,Paranhos,Janeiro 2017,1.323
Porto,Porto,Paranhos,Dezembro 2016,1.293
Porto,Porto,Paranhos,Novembro 2016,1.280
Porto,Porto,Paranhos,Outubro 2016,1.243
Porto,Porto,Paranhos,Setembro 2016,1.249
Porto,Porto,Paranhos,Agosto 2016,1.245
Porto,Porto,Paranhos,Julho 2016,1.245
Porto,Porto,Paranhos,Junho 2016,1.256
Porto,Porto,Paranhos,Maio 2016,1.259
Porto,Porto,Paranhos,Abril 2016,1.210
Porto,Porto,Paranhos,Março 2016,1.211
Porto,Porto,Paranhos,Fevereiro 2016,1.282
Porto,Porto,Paranhos,Janeiro 2016,1.248
Porto,Porto,Paranhos,Dezembro 2015,1.147
Porto,Porto,Paranhos,Novembro 2015,1.156
Porto,Porto,Paranhos,Outubro 2015,1.163
Porto,Porto,Paranhos,Setembro 2015,1.219
Porto,Porto,Paranhos,Agosto 2015,1.228
Porto,Porto,Paranhos,Julho 2015,1.192
Porto,Porto,Paranhos,Junho 2015,1.186
Porto,Porto,Paranhos,Maio 2015,1.209
Porto,Porto,Paranhos,Abril 2015,1.257
Porto,Porto,Paranhos,Março 2015,1.273
Porto,Porto,Paranhos,Fevereiro 2015,1.340
Porto,Porto,Paranhos,Janeiro 2015,1.301
Porto,Porto,Ramalde,Dezembro 2019,2.291
Porto,Porto,Ramalde,Novembro 2019,2.308
Porto,Porto,Ramalde,Outubro 2019,2.254
Porto,Porto,Ramalde,Setembro 2019,2.228
Porto,Porto,Ramalde,Agosto 2019,2.250
Porto,Porto,Ramalde,Julho 2019,2.256
Porto,Porto,Ramalde,Junho 2019,2.229
Porto,Porto,Ramalde,Maio 2019,2.210
Porto,Porto,Ramalde,Abril 2019,2.218
Porto,Porto,Ramalde,Março 2019,2.194
Porto,Porto,Ramalde,Fevereiro 2019,2.084
Porto,Porto,Ramalde,Janeiro 2019,2.025
Porto,Porto,Ramalde,Dezembro 2018,1.972
Porto,Porto,Ramalde,Novembro 2018,1.976
Porto,Porto,Ramalde,Outubro 2018,1.983
Porto,Porto,Ramalde,Setembro 2018,1.927
Porto,Porto,Ramalde,Agosto 2018,1.933
Porto,Porto,Ramalde,Julho 2018,1.845
Porto,Porto,Ramalde,Junho 2018,1.795
Porto,Porto,Ramalde,Maio 2018,1.764
Porto,Porto,Ramalde,Abril 2018,1.719
Porto,Porto,Ramalde,Março 2018,1.700
Porto,Porto,Ramalde,Fevereiro 2018,1.670
Porto,Porto,Ramalde,Janeiro 2018,1.647
Porto,Porto,Ramalde,Dezembro 2017,1.647
Porto,Porto,Ramalde,Novembro 2017,1.629
Porto,Porto,Ramalde,Outubro 2017,1.605
Porto,Porto,Ramalde,Setembro 2017,1.564
Porto,Porto,Ramalde,Agosto 2017,1.565
Porto,Porto,Ramalde,Julho 2017,1.550
Porto,Porto,Ramalde,Junho 2017,1.551
Porto,Porto,Ramalde,Maio 2017,1.548
Porto,Porto,Ramalde,Abril 2017,1.528
Porto,Porto,Ramalde,Março 2017,1.507
Porto,Porto,Ramalde,Fevereiro 2017,1.481
Porto,Porto,Ramalde,Janeiro 2017,1.438
Porto,Porto,Ramalde,Dezembro 2016,1.426
Porto,Porto,Ramalde,Novembro 2016,1.404
Porto,Porto,Ramalde,Outubro 2016,1.413
Porto,Porto,Ramalde,Setembro 2016,1.396
Porto,Porto,Ramalde,Agosto 2016,1.412
Porto,Porto,Ramalde,Julho 2016,1.417
Porto,Porto,Ramalde,Junho 2016,1.377
Porto,Porto,Ramalde,Maio 2016,1.362
Porto,Porto,Ramalde,Abril 2016,1.397
Porto,Porto,Ramalde,Março 2016,1.375
Porto,Porto,Ramalde,Fevereiro 2016,1.463
Porto,Porto,Ramalde,Janeiro 2016,1.422
Porto,Porto,Ramalde,Dezembro 2015,1.319
Porto,Porto,Ramalde,Novembro 2015,1.277
Porto,Porto,Ramalde,Outubro 2015,1.327
Porto,Porto,Ramalde,Setembro 2015,1.381
Porto,Porto,Ramalde,Agosto 2015,1.401
Porto,Porto,Ramalde,Julho 2015,1.400
Porto,Porto,Ramalde,Junho 2015,1.383
Porto,Porto,Ramalde,Maio 2015,1.348
Porto,Porto,Ramalde,Abril 2015,1.361
Porto,Porto,Ramalde,Março 2015,1.256
Porto,Porto,Ramalde,Fevereiro 2015,1.279
Porto,Porto,Ramalde,Janeiro 2015,1.298
