distrito, concelho, freguesia, ano e mes, preco_m2
Lisboa,Lisboa,Arroios,Dezembro 2015,2.150
Lisboa,Lisboa,Arroios,Novembro 2015,2.121
Lisboa,Lisboa,Arroios,Outubro 2015,2.049
Lisboa,Lisboa,Arroios,Setembro 2015,2.012
Lisboa,Lisboa,Arroios,Agosto 2015,2.089
Lisboa,Lisboa,Arroios,Julho 2015,2.059
Lisboa,Lisboa,Arroios,Junho 2015,2.102
Lisboa,Lisboa,Arroios,Maio 2015,1.993
Lisboa,Lisboa,Arroios,Abril 2015,1.938
Lisboa,Lisboa,Arroios,Março 2015,1.894
Lisboa,Lisboa,Arroios,Fevereiro 2015,1.846
Lisboa,Lisboa,Arroios,Janeiro 2015,1.837
Lisboa,Lisboa,Avenidas Novas,Dezembro 2019,5.538
Lisboa,Lisboa,Avenidas Novas,Novembro 2019,5.591
Lisboa,Lisboa,Avenidas Novas,Outubro 2019,5.624
Lisboa,Lisboa,Avenidas Novas,Setembro 2019,5.473
Lisboa,Lisboa,Avenidas Novas,Agosto 2019,5.359
Lisboa,Lisboa,Avenidas Novas,Julho 2019,5.304
Lisboa,Lisboa,Avenidas Novas,Junho 2019,5.186
Lisboa,Lisboa,Avenidas Novas,Maio 2019,5.073
Lisboa,Lisboa,Avenidas Novas,Abril 2019,4.875
Lisboa,Lisboa,Avenidas Novas,Março 2019,4.841
Lisboa,Lisboa,Avenidas Novas,Fevereiro 2019,4.841
Lisboa,Lisboa,Avenidas Novas,Janeiro 2019,4.849
Lisboa,Lisboa,Avenidas Novas,Dezembro 2018,4.833
Lisboa,Lisboa,Avenidas Novas,Novembro 2018,4.805
Lisboa,Lisboa,Avenidas Novas,Outubro 2018,4.736
Lisboa,Lisboa,Avenidas Novas,Setembro 2018,4.698
Lisboa,Lisboa,Avenidas Novas,Agosto 2018,4.658
Lisboa,Lisboa,Avenidas Novas,Julho 2018,4.661
Lisboa,Lisboa,Avenidas Novas,Junho 2018,4.696
Lisboa,Lisboa,Avenidas Novas,Maio 2018,4.698
Lisboa,Lisboa,Avenidas Novas,Abril 2018,4.699
Lisboa,Lisboa,Avenidas Novas,Março 2018,4.696
Lisboa,Lisboa,Avenidas Novas,Fevereiro 2018,4.692
Lisboa,Lisboa,Avenidas Novas,Janeiro 2018,4.636
Lisboa,Lisboa,Avenidas Novas,Dezembro 2017,4.524
Lisboa,Lisboa,Avenidas Novas,Novembro 2017,4.485
Lisboa,Lisboa,Avenidas Novas,Outubro 2017,4.404
Lisboa,Lisboa,Avenidas Novas,Setembro 2017,4.362
Lisboa,Lisboa,Avenidas Novas,Agosto 2017,4.321
Lisboa,Lisboa,Avenidas Novas,Julho 2017,4.300
Lisboa,Lisboa,Avenidas Novas,Junho 2017,4.253
Lisboa,Lisboa,Avenidas Novas,Maio 2017,4.143
Lisboa,Lisboa,Avenidas Novas,Abril 2017,4.121
Lisboa,Lisboa,Avenidas Novas,Março 2017,4.044
Lisboa,Lisboa,Avenidas Novas,Fevereiro 2017,3.993
Lisboa,Lisboa,Avenidas Novas,Janeiro 2017,3.923
Lisboa,Lisboa,Avenidas Novas,Dezembro 2016,3.908
Lisboa,Lisboa,Avenidas Novas,Novembro 2016,3.802
Lisboa,Lisboa,Avenidas Novas,Outubro 2016,3.740
Lisboa,Lisboa,Avenidas Novas,Setembro 2016,3.670
Lisboa,Lisboa,Avenidas Novas,Agosto 2016,3.641
Lisboa,Lisboa,Avenidas Novas,Julho 2016,3.708
Lisboa,Lisboa,Avenidas Novas,Junho 2016,3.843
Lisboa,Lisboa,Avenidas Novas,Maio 2016,3.992
Lisboa,Lisboa,Avenidas Novas,Abril 2016,3.839
Lisboa,Lisboa,Avenidas Novas,Março 2016,3.595
Lisboa,Lisboa,Avenidas Novas,Fevereiro 2016,3.620
Lisboa,Lisboa,Avenidas Novas,Janeiro 2016,3.369
Lisboa,Lisboa,Avenidas Novas,Dezembro 2015,3.395
Lisboa,Lisboa,Avenidas Novas,Novembro 2015,3.619
Lisboa,Lisboa,Avenidas Novas,Outubro 2015,3.687
Lisboa,Lisboa,Avenidas Novas,Setembro 2015,3.666
Lisboa,Lisboa,Avenidas Novas,Agosto 2015,3.707
Lisboa,Lisboa,Avenidas Novas,Julho 2015,3.835
Lisboa,Lisboa,Avenidas Novas,Junho 2015,3.738
Lisboa,Lisboa,Avenidas Novas,Maio 2015,3.844
Lisboa,Lisboa,Avenidas Novas,Abril 2015,3.852
Lisboa,Lisboa,Avenidas Novas,Março 2015,3.594
Lisboa,Lisboa,Avenidas Novas,Fevereiro 2015,3.678
Lisboa,Lisboa,Avenidas Novas,Janeiro 2015,3.709
Lisboa,Lisboa,Beato,Dezembro 2019,2.580
Lisboa,Lisboa,Beato,Novembro 2019,2.740
Lisboa,Lisboa,Beato,Outubro 2019,3.094
Lisboa,Lisboa,Beato,Setembro 2019,3.027
Lisboa,Lisboa,Beato,Agosto 2019,2.976
Lisboa,Lisboa,Beato,Julho 2019,2.997
Lisboa,Lisboa,Beato,Junho 2019,2.942
Lisboa,Lisboa,Beato,Maio 2019,2.886
Lisboa,Lisboa,Beato,Abril 2019,2.901
Lisboa,Lisboa,Beato,Março 2019,2.889
Lisboa,Lisboa,Beato,Fevereiro 2019,2.870
Lisboa,Lisboa,Beato,Janeiro 2019,2.973
Lisboa,Lisboa,Beato,Dezembro 2018,2.976
Lisboa,Lisboa,Beato,Novembro 2018,3.076
Lisboa,Lisboa,Beato,Outubro 2018,3.071
Lisboa,Lisboa,Beato,Setembro 2018,3.113
Lisboa,Lisboa,Beato,Agosto 2018,3.050
Lisboa,Lisboa,Beato,Julho 2018,3.076
Lisboa,Lisboa,Beato,Junho 2018,2.876
Lisboa,Lisboa,Beato,Maio 2018,2.813
Lisboa,Lisboa,Beato,Abril 2018,2.794
Lisboa,Lisboa,Beato,Março 2018,2.797
Lisboa,Lisboa,Beato,Fevereiro 2018,2.566
Lisboa,Lisboa,Beato,Janeiro 2018,2.477
Lisboa,Lisboa,Beato,Dezembro 2017,2.447
Lisboa,Lisboa,Beato,Novembro 2017,2.465
Lisboa,Lisboa,Beato,Outubro 2017,2.407
Lisboa,Lisboa,Beato,Setembro 2017,2.309
Lisboa,Lisboa,Beato,Agosto 2017,2.125
Lisboa,Lisboa,Beato,Julho 2017,2.130
Lisboa,Lisboa,Beato,Junho 2017,2.379
Lisboa,Lisboa,Beato,Maio 2017,2.168
Lisboa,Lisboa,Beato,Abril 2017,2.100
Lisboa,Lisboa,Beato,Março 2017,1.805
Lisboa,Lisboa,Beato,Fevereiro 2017,1.793
Lisboa,Lisboa,Beato,Janeiro 2017,1.782
Lisboa,Lisboa,Beato,Dezembro 2016,1.775
Lisboa,Lisboa,Beato,Novembro 2016,1.736
Lisboa,Lisboa,Beato,Outubro 2016,1.698
Lisboa,Lisboa,Beato,Setembro 2016,1.779
Lisboa,Lisboa,Beato,Agosto 2016,1.715
Lisboa,Lisboa,Beato,Julho 2016,1.620
Lisboa,Lisboa,Beato,Junho 2016,1.697
Lisboa,Lisboa,Beato,Maio 2016,1.672
Lisboa,Lisboa,Beato,Abril 2016,1.591
Lisboa,Lisboa,Beato,Março 2016,1.607
Lisboa,Lisboa,Beato,Fevereiro 2016,1.618
Lisboa,Lisboa,Beato,Janeiro 2016,1.556
Lisboa,Lisboa,Beato,Dezembro 2015,1.479
Lisboa,Lisboa,Beato,Novembro 2015,1.444
Lisboa,Lisboa,Beato,Outubro 2015,n.a.
Lisboa,Lisboa,Beato,Setembro 2015,n.a.
Lisboa,Lisboa,Beato,Agosto 2015,n.a.
Lisboa,Lisboa,Beato,Julho 2015,n.a.
Lisboa,Lisboa,Beato,Junho 2015,n.a.
Lisboa,Lisboa,Beato,Maio 2015,n.a.
Lisboa,Lisboa,Beato,Abril 2015,n.a.
Lisboa,Lisboa,Beato,Março 2015,n.a.
Lisboa,Lisboa,Beato,Fevereiro 2015,n.a.
Lisboa,Lisboa,Beato,Janeiro 2015,n.a.
Lisboa,Lisboa,Belém,Dezembro 2019,5.046
Lisboa,Lisboa,Belém,Novembro 2019,5.044
Lisboa,Lisboa,Belém,Outubro 2019,4.977
Lisboa,Lisboa,Belém,Setembro 2019,4.984
Lisboa,Lisboa,Belém,Agosto 2019,5.172
Lisboa,Lisboa,Belém,Julho 2019,5.269
Lisboa,Lisboa,Belém,Junho 2019,5.153
Lisboa,Lisboa,Belém,Maio 2019,5.029
Lisboa,Lisboa,Belém,Abril 2019,4.936
Lisboa,Lisboa,Belém,Março 2019,4.874
Lisboa,Lisboa,Belém,Fevereiro 2019,4.832
Lisboa,Lisboa,Belém,Janeiro 2019,5.019
Lisboa,Lisboa,Belém,Dezembro 2018,4.820
Lisboa,Lisboa,Belém,Novembro 2018,4.739
Lisboa,Lisboa,Belém,Outubro 2018,4.557
Lisboa,Lisboa,Belém,Setembro 2018,4.457
Lisboa,Lisboa,Belém,Agosto 2018,4.448
Lisboa,Lisboa,Belém,Julho 2018,4.450
Lisboa,Lisboa,Belém,Junho 2018,4.425
Lisboa,Lisboa,Belém,Maio 2018,4.358
Lisboa,Lisboa,Belém,Abril 2018,4.562
Lisboa,Lisboa,Belém,Março 2018,4.464
Lisboa,Lisboa,Belém,Fevereiro 2018,4.436
Lisboa,Lisboa,Belém,Janeiro 2018,4.525
Lisboa,Lisboa,Belém,Dezembro 2017,4.447
Lisboa,Lisboa,Belém,Novembro 2017,4.508
Lisboa,Lisboa,Belém,Outubro 2017,4.550
Lisboa,Lisboa,Belém,Setembro 2017,4.568
Lisboa,Lisboa,Belém,Agosto 2017,4.324
Lisboa,Lisboa,Belém,Julho 2017,4.000
Lisboa,Lisboa,Belém,Junho 2017,3.961
Lisboa,Lisboa,Belém,Maio 2017,3.930
Lisboa,Lisboa,Belém,Abril 2017,3.917
Lisboa,Lisboa,Belém,Março 2017,3.827
Lisboa,Lisboa,Belém,Fevereiro 2017,3.976
Lisboa,Lisboa,Belém,Janeiro 2017,3.827
Lisboa,Lisboa,Belém,Dezembro 2016,3.707
Lisboa,Lisboa,Belém,Novembro 2016,3.686
Lisboa,Lisboa,Belém,Outubro 2016,3.698
