distrito, concelho, freguesia, ano, mes, preco_m2
Braga,Braga,Celeirós - Aveleda - Vimieiro,Junho 2017,813
Braga,Braga,Celeirós - Aveleda - Vimieiro,Maio 2017,835
Braga,Braga,Celeirós - Aveleda - Vimieiro,Abril 2017,838
Braga,Braga,Celeirós - Aveleda - Vimieiro,Março 2017,852
Braga,Braga,Celeirós - Aveleda - Vimieiro,Fevereiro 2017,890
Braga,Braga,Celeirós - Aveleda - Vimieiro,Janeiro 2017,924
Braga,Braga,Celeirós - Aveleda - Vimieiro,Dezembro 2016,901
Braga,Braga,Celeirós - Aveleda - Vimieiro,Novembro 2016,906
Braga,Braga,Celeirós - Aveleda - Vimieiro,Outubro 2016,840
Braga,Braga,Celeirós - Aveleda - Vimieiro,Setembro 2016,873
Braga,Braga,Celeirós - Aveleda - Vimieiro,Agosto 2016,859
Braga,Braga,Celeirós - Aveleda - Vimieiro,Julho 2016,868
Braga,Braga,Celeirós - Aveleda - Vimieiro,Junho 2016,806
Braga,Braga,Celeirós - Aveleda - Vimieiro,Maio 2016,803
Braga,Braga,Celeirós - Aveleda - Vimieiro,Abril 2016,n.a.
Braga,Braga,Celeirós - Aveleda - Vimieiro,Março 2016,n.a.
Braga,Braga,Celeirós - Aveleda - Vimieiro,Fevereiro 2016,n.a.
Braga,Braga,Celeirós - Aveleda - Vimieiro,Janeiro 2016,n.a.
Braga,Braga,Celeirós - Aveleda - Vimieiro,Dezembro 2015,n.a.
Braga,Braga,Celeirós - Aveleda - Vimieiro,Novembro 2015,n.a.
Braga,Braga,Celeirós - Aveleda - Vimieiro,Outubro 2015,n.a.
Braga,Braga,Celeirós - Aveleda - Vimieiro,Setembro 2015,n.a.
Braga,Braga,Celeirós - Aveleda - Vimieiro,Agosto 2015,n.a.
Braga,Braga,Celeirós - Aveleda - Vimieiro,Julho 2015,n.a.
Braga,Braga,Celeirós - Aveleda - Vimieiro,Junho 2015,n.a.
Braga,Braga,Celeirós - Aveleda - Vimieiro,Maio 2015,n.a.
Braga,Braga,Celeirós - Aveleda - Vimieiro,Abril 2015,n.a.
Braga,Braga,Celeirós - Aveleda - Vimieiro,Março 2015,n.a.
Braga,Braga,Celeirós - Aveleda - Vimieiro,Fevereiro 2015,n.a.
Braga,Braga,Celeirós - Aveleda - Vimieiro,Janeiro 2015,n.a.
Braga,Braga,Crespos e Pousada,Dezembro 2019,n.a.
Braga,Braga,Crespos e Pousada,Novembro 2019,n.a.
Braga,Braga,Crespos e Pousada,Outubro 2019,n.a.
Braga,Braga,Crespos e Pousada,Setembro 2019,n.a.
Braga,Braga,Crespos e Pousada,Agosto 2019,n.a.
Braga,Braga,Crespos e Pousada,Julho 2019,n.a.
Braga,Braga,Crespos e Pousada,Junho 2019,n.a.
Braga,Braga,Crespos e Pousada,Maio 2019,n.a.
Braga,Braga,Crespos e Pousada,Abril 2019,n.a.
Braga,Braga,Crespos e Pousada,Março 2019,n.a.
Braga,Braga,Crespos e Pousada,Fevereiro 2019,n.a.
Braga,Braga,Crespos e Pousada,Janeiro 2019,n.a.
Braga,Braga,Crespos e Pousada,Dezembro 2018,n.a.
Braga,Braga,Crespos e Pousada,Novembro 2018,n.a.
Braga,Braga,Crespos e Pousada,Outubro 2018,n.a.
Braga,Braga,Crespos e Pousada,Setembro 2018,n.a.
Braga,Braga,Crespos e Pousada,Agosto 2018,n.a.
Braga,Braga,Crespos e Pousada,Julho 2018,n.a.
Braga,Braga,Crespos e Pousada,Junho 2018,n.a.
Braga,Braga,Crespos e Pousada,Maio 2018,n.a.
Braga,Braga,Crespos e Pousada,Abril 2018,n.a.
